Regional,Province,District,Sub-District,Gender,Age,Age Range,Relation,Mariage Registration,Alcohol,Drug,Authoritative,Rage,Jealous,Divorce,Health Problem,Mental Problem,Gambling Addict,Economics Stress,Relation Type,Relation Type Group
ภาคเหนือ,นครสวรรค์,เมืองนครสวรรค์,หนองกระโดน,หญิง,53.0,วัยกลางคน 36 - 59 ปี,สมรส,ยังไม่ได้จดทะเบียนสมรส,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
ภาคเหนือ,นครสวรรค์,ชุมแสง,พันลาน,ชาย,71.0,วัยสูงอายุ 60 ปีขึ้นไป,สมรส,ยังไม่ได้จดทะเบียนสมรส,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ใช่,ไม่,ไม่,บิดา,ผู้ปกครอง/เครือญาติ
ภาคเหนือ,นครสวรรค์,โกรกพระ,หาดสูง,หญิง,38.0,วัยกลางคน 36 - 59 ปี,แยกกันอยู่,ยังไม่ได้จดทะเบียนหย่า,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ใช่,ใช่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
ภาคเหนือ,น่าน,เมืองน่าน,สะเนียน,หญิง,55.0,วัยกลางคน 36 - 59 ปี,สมรส,จดทะเบียนสมรสแล้ว,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ใช่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
ภาคเหนือ,น่าน,เวียงสา,กลางเวียง,หญิง,6.0,วัยเด็กเล็กแรกเกิด - 6 ปี,โสด,ไม่ระบุ,ไม่,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,มารดา,ผู้ปกครอง/เครือญาติ
ภาคเหนือ,น่าน,เมืองน่าน,นาซาว,ชาย,52.0,วัยกลางคน 36 - 59 ปี,สมรส,จดทะเบียนสมรสแล้ว,ใช่,ไม่,ใช่,ใช่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,"คู่ชีวิต,ภรรยา",คู่สมรส/คู่รัก
ภาคเหนือ,น่าน,สันติสุข,พงษ์,หญิง,15.0,วัยรุ่น 13 - 18 ปี,โสด,ไม่ระบุ,ไม่,ไม่,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ลุง,ผู้ปกครอง/เครือญาติ
ภาคเหนือ,น่าน,เชียงกลาง,พญาแก้ว,หญิง,18.0,วัยรุ่น 13 - 18 ปี,โสด,ไม่ระบุ,ไม่,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ยาย,ผู้ปกครอง/เครือญาติ
ภาคเหนือ,น่าน,ท่าวังผา,ยม,ชาย,62.0,วัยสูงอายุ 60 ปีขึ้นไป,สมรส,ยังไม่ได้จดทะเบียนสมรส,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ใช่,ไม่,ไม่,ลูกเลี้ยง,บุตร/หลาน
ภาคเหนือ,น่าน,เชียงกลาง,เปือ,ชาย,41.0,วัยกลางคน 36 - 59 ปี,โสด,ไม่ระบุ,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ใช่,ไม่,ไม่,พี่น้อง/ลูกพี่ลูกน้อง,บุตร/หลาน
ภาคเหนือ,น่าน,เวียงสา,แม่ขะนิง,หญิง,58.0,วัยกลางคน 36 - 59 ปี,สมรส,จดทะเบียนสมรสแล้ว,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ลูกเลี้ยง,บุตร/หลาน
ภาคเหนือ,น่าน,ภูเพียง,เมืองจัง,หญิง,43.0,วัยกลางคน 36 - 59 ปี,สมรส,จดทะเบียนสมรสแล้ว,ไม่,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
ภาคเหนือ,น่าน,ภูเพียง,น้ำแก่น,หญิง,47.0,วัยกลางคน 36 - 59 ปี,โสด,ไม่ระบุ,ไม่,ไม่,ใช่,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,อื่นๆ อดีตแฟน,คู่สมรส/คู่รัก
ภาคเหนือ,น่าน,ทุ่งช้าง,และ,หญิง,46.0,วัยกลางคน 36 - 59 ปี,สมรส,จดทะเบียนสมรสแล้ว,ไม่,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
ภาคเหนือ,น่าน,เวียงสา,นาเหลือง,ชาย,45.0,วัยกลางคน 36 - 59 ปี,โสด,ไม่ระบุ,ใช่,ใช่,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,พี่น้อง/ลูกพี่ลูกน้อง,บุตร/หลาน
ภาคเหนือ,น่าน,ปัว,ป่ากลาง,หญิง,42.0,วัยกลางคน 36 - 59 ปี,สมรส,ยังไม่ได้จดทะเบียนสมรส,ใช่,ไม่,ใช่,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
ภาคเหนือ,น่าน,เมืองน่าน,สะเนียน,หญิง,48.0,วัยกลางคน 36 - 59 ปี,สมรส,จดทะเบียนสมรสแล้ว,ไม่,ไม่,ใช่,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
ภาคเหนือ,น่าน,ปัว,อวน,หญิง,58.0,วัยกลางคน 36 - 59 ปี,สมรส,จดทะเบียนสมรสแล้ว,ไม่,ไม่,ไม่,ไม่,ไม่,ใช่,ไม่,ไม่,ไม่,ใช่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
ภาคเหนือ,น่าน,ปัว,ป่ากลาง,หญิง,26.0,วัยผู้ใหญ่ตอนต้น 19 - 35 ปี,สมรส,จดทะเบียนสมรสแล้ว,ไม่,ไม่,ใช่,ใช่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
ภาคเหนือ,น่าน,เมืองน่าน,ในเวียง,ชาย,11.0,วัยเด็กตอนกลาง 7 - 12 ปี,โสด,ไม่ระบุ,ไม่,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,พ่อเลี้ยง,พ่อเลี้ยง/แม่เลี้ยง
ภาคเหนือ,น่าน,เมืองน่าน,บ่อ,ชาย,85.0,วัยสูงอายุ 60 ปีขึ้นไป,โสด,ไม่ระบุ,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,บิดา,ผู้ปกครอง/เครือญาติ
ภาคเหนือ,น่าน,นาหมื่น,นาทะนุง,หญิง,20.0,วัยผู้ใหญ่ตอนต้น 19 - 35 ปี,สมรส,ยังไม่ได้จดทะเบียนสมรส,ใช่,ใช่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
ภาคเหนือ,พะเยา,เมืองพะเยา,แม่ต๋ำ,หญิง,41.0,วัยกลางคน 36 - 59 ปี,แยกกันอยู่,จดทะเบียนหย่า,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,อื่นๆ ภริยาไม่ชอบด้วยกฎหมาย,อื่น ๆ
ภาคเหนือ,พะเยา,ดอกคำใต้,บ้านปิน,หญิง,52.0,วัยกลางคน 36 - 59 ปี,สมรส,จดทะเบียนสมรสแล้ว,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ใช่,ไม่,ไม่,ลูกสะใภ้,บุตร/หลาน
ภาคเหนือ,พะเยา,จุน,ห้วยยางขาม,หญิง,31.0,วัยผู้ใหญ่ตอนต้น 19 - 35 ปี,สมรส,ยังไม่ได้จดทะเบียนสมรส,ใช่,ใช่,ไม่,ใช่,ไม่,ไม่,ไม่,ใช่,ไม่,ไม่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
ภาคเหนือ,พะเยา,เมืองพะเยา,แม่นาเรือ,หญิง,41.0,วัยกลางคน 36 - 59 ปี,สมรส,ยังไม่ได้จดทะเบียนสมรส,ใช่,ไม่,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
ภาคเหนือ,พิจิตร,บางมูลนาก,เนินมะกอก,หญิง,52.0,วัยกลางคน 36 - 59 ปี,โสด,ไม่ระบุ,ใช่,ใช่,ไม่,ใช่,ไม่,ไม่,ไม่,ใช่,ไม่,ไม่,ป้า,ผู้ปกครอง/เครือญาติ
ภาคเหนือ,พิจิตร,เมืองพิจิตร,หัวดง,หญิง,55.0,วัยกลางคน 36 - 59 ปี,สมรส,จดทะเบียนสมรสแล้ว,ไม่,ใช่,ไม่,ไม่,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,บุตร,บุตร/หลาน
ภาคเหนือ,พิจิตร,เมืองพิจิตร,ดงป่าคำ,หญิง,61.0,วัยสูงอายุ 60 ปีขึ้นไป,สมรส,จดทะเบียนสมรสแล้ว,ใช่,ไม่,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,บุตร,บุตร/หลาน
ภาคเหนือ,พิจิตร,เมืองพิจิตร,สายคำโห้,หญิง,61.0,วัยสูงอายุ 60 ปีขึ้นไป,หม้าย (กรณีคู่สมรสเสียชีวิต),ไม่ระบุ,ใช่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ใช่,ไม่,ไม่,มารดา,ผู้ปกครอง/เครือญาติ
ภาคเหนือ,พิจิตร,เมืองพิจิตร,ดงกลาง,หญิง,74.0,วัยสูงอายุ 60 ปีขึ้นไป,สมรส,จดทะเบียนสมรสแล้ว,ไม่,ใช่,ใช่,ไม่,ไม่,ไม่,ไม่,ใช่,ไม่,ไม่,บุตร,บุตร/หลาน
ภาคเหนือ,พิจิตร,เมืองพิจิตร,ปากทาง,ชาย,66.0,วัยสูงอายุ 60 ปีขึ้นไป,แยกกันอยู่,ยังไม่ได้จดทะเบียนหย่า,ใช่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ใช่,ไม่,ไม่,บุตร,บุตร/หลาน
ภาคเหนือ,พิจิตร,ตะพานหิน,งิ้วราย,หญิง,29.0,วัยผู้ใหญ่ตอนต้น 19 - 35 ปี,สมรส,จดทะเบียนสมรสแล้ว,ใช่,ใช่,ไม่,ใช่,ใช่,ไม่,ใช่,ใช่,ไม่,ไม่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
ภาคเหนือ,พิจิตร,เมืองพิจิตร,โรงช้าง,หญิง,64.0,วัยสูงอายุ 60 ปีขึ้นไป,สมรส,จดทะเบียนสมรสแล้ว,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ใช่,ไม่,ไม่,บุตร,บุตร/หลาน
ภาคเหนือ,พิษณุโลก,บางกระทุ่ม,บ้านไร่,หญิง,37.0,วัยกลางคน 36 - 59 ปี,สมรส,ยังไม่ได้จดทะเบียนสมรส,ไม่,ใช่,ไม่,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
ภาคเหนือ,พิษณุโลก,เมืองพิษณุโลก,อรัญญิก,หญิง,26.0,วัยผู้ใหญ่ตอนต้น 19 - 35 ปี,สมรส,จดทะเบียนสมรสแล้ว,ไม่,ไม่,ไม่,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
ภาคเหนือ,พิษณุโลก,บางกระทุ่ม,ไผ่ล้อม,หญิง,15.0,วัยรุ่น 13 - 18 ปี,สมรส,ยังไม่ได้จดทะเบียนสมรส,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,บุตร,บุตร/หลาน
ภาคเหนือ,พิษณุโลก,วังทอง,วังพิกุล,ชาย,11.0,วัยเด็กตอนกลาง 7 - 12 ปี,โสด,ไม่ระบุ,ไม่,ใช่,ไม่,ไม่,ไม่,ใช่,ใช่,ไม่,ไม่,ใช่,บุตร,บุตร/หลาน
ภาคเหนือ,พิษณุโลก,วังทอง,วังทอง,หญิง,14.0,วัยรุ่น 13 - 18 ปี,โสด,ไม่ระบุ,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ใช่,ไม่,ไม่,บุตร,บุตร/หลาน
ภาคเหนือ,พิษณุโลก,เมืองพิษณุโลก,ดอนทอง,หญิง,53.0,วัยกลางคน 36 - 59 ปี,แยกกันอยู่,ยังไม่ได้จดทะเบียนหย่า,ไม่,ไม่,ใช่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ใช่,"คู่ชีวิต,ภรรยา",คู่สมรส/คู่รัก
ภาคเหนือ,พิษณุโลก,บางระกำ,คุยม่วง,ชาย,53.0,วัยกลางคน 36 - 59 ปี,แยกกันอยู่,ยังไม่ได้จดทะเบียนหย่า,ไม่,ไม่,ไม่,ไม่,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,"คู่ชีวิต,ภรรยา",คู่สมรส/คู่รัก
ภาคเหนือ,พิษณุโลก,เมืองพิษณุโลก,หัวรอ,หญิง,40.0,วัยกลางคน 36 - 59 ปี,แยกกันอยู่,ยังไม่ได้จดทะเบียนหย่า,ใช่,ไม่,ไม่,ไม่,ใช่,ใช่,ไม่,ไม่,ใช่,ไม่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
ภาคเหนือ,พิษณุโลก,นครไทย,บ้านแยง,หญิง,42.0,วัยกลางคน 36 - 59 ปี,สมรส,จดทะเบียนสมรสแล้ว,ใช่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
ภาคเหนือ,พิษณุโลก,เมืองพิษณุโลก,หัวรอ,หญิง,32.0,วัยผู้ใหญ่ตอนต้น 19 - 35 ปี,แยกกันอยู่,จดทะเบียนหย่า,ไม่,ไม่,ไม่,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,"คู่ชีวิต,อดีตสามี",คู่สมรส/คู่รัก
ภาคเหนือ,พิษณุโลก,เมืองพิษณุโลก,ท่าโพธิ์,หญิง,20.0,วัยผู้ใหญ่ตอนต้น 19 - 35 ปี,แยกกันอยู่,จดทะเบียนหย่า,ไม่,ไม่,ไม่,ไม่,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
ภาคเหนือ,พิษณุโลก,เมืองพิษณุโลก,บึงพระ,หญิง,63.0,วัยสูงอายุ 60 ปีขึ้นไป,แยกกันอยู่,ยังไม่ได้จดทะเบียนหย่า,ใช่,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ใช่,"คู่ชีวิต,อดีตสามี",คู่สมรส/คู่รัก
ภาคเหนือ,พิษณุโลก,วังทอง,บ้านกลาง,หญิง,12.0,วัยเด็กตอนกลาง 7 - 12 ปี,โสด,ไม่ระบุ,ไม่,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,พ่อเลี้ยง,พ่อเลี้ยง/แม่เลี้ยง
ภาคเหนือ,พิษณุโลก,นครไทย,เนินเพิ่ม,หญิง,36.0,วัยกลางคน 36 - 59 ปี,สมรส,ยังไม่ได้จดทะเบียนสมรส,ใช่,ใช่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
ภาคเหนือ,อุตรดิตถ์,เมืองอุตรดิตถ์,บ้านเกาะ,หญิง,36.0,วัยกลางคน 36 - 59 ปี,โสด,ไม่ระบุ,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
ภาคเหนือ,อุตรดิตถ์,พิชัย,ท่าสัก,หญิง,76.0,วัยสูงอายุ 60 ปีขึ้นไป,แยกกันอยู่,ยังไม่ได้จดทะเบียนหย่า,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ใช่,ไม่,ไม่,บุตร,บุตร/หลาน
ภาคเหนือ,อุตรดิตถ์,ท่าปลา,จริม,ชาย,5.0,วัยเด็กเล็กแรกเกิด - 6 ปี,โสด,ไม่ระบุ,ไม่,ไม่,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ยาย,ผู้ปกครอง/เครือญาติ
ภาคเหนือ,อุตรดิตถ์,เมืองอุตรดิตถ์,บ้านด่าน,หญิง,26.0,วัยผู้ใหญ่ตอนต้น 19 - 35 ปี,โสด,ไม่ระบุ,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
ภาคเหนือ,อุตรดิตถ์,ท่าปลา,หาดล้า,หญิง,17.0,วัยรุ่น 13 - 18 ปี,โสด,ไม่ระบุ,ใช่,ไม่,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ผู้ปกครอง,ผู้ปกครอง/เครือญาติ
ภาคเหนือ,อุตรดิตถ์,พิชัย,นายาง,หญิง,29.0,วัยผู้ใหญ่ตอนต้น 19 - 35 ปี,แยกกันอยู่,ยังไม่ได้จดทะเบียนหย่า,ใช่,ไม่,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,"คู่ชีวิต,ภรรยา",คู่สมรส/คู่รัก
ภาคเหนือ,อุตรดิตถ์,น้ำปาด,แสนตอ,หญิง,61.0,วัยสูงอายุ 60 ปีขึ้นไป,โสด,ไม่ระบุ,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,บุตร,บุตร/หลาน
ภาคเหนือ,อุทัยธานี,ลานสัก,น้ำรอบ,หญิง,5.0,วัยเด็กเล็กแรกเกิด - 6 ปี,โสด,ไม่ระบุ,ใช่,ใช่,ไม่,ใช่,ไม่,ไม่,ใช่,ไม่,ไม่,ไม่,บิดา,ผู้ปกครอง/เครือญาติ
ภาคเหนือ,อุทัยธานี,ห้วยคต,ทองหลาง,หญิง,32.0,วัยผู้ใหญ่ตอนต้น 19 - 35 ปี,สมรส,ยังไม่ได้จดทะเบียนสมรส,ใช่,ใช่,ใช่,ใช่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
ภาคเหนือ,อุทัยธานี,หนองฉาง,ทุ่งโพ,หญิง,80.0,วัยสูงอายุ 60 ปีขึ้นไป,หม้าย (กรณีคู่สมรสเสียชีวิต),ไม่ระบุ,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,หลาน,บุตร/หลาน
ภาคเหนือ,อุทัยธานี,ทัพทัน,ตลุกดู่,หญิง,32.0,วัยผู้ใหญ่ตอนต้น 19 - 35 ปี,โสด,ไม่ระบุ,ไม่,ไม่,ไม่,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
ภาคเหนือ,อุทัยธานี,บ้านไร่,แก่นมะกรูด,หญิง,63.0,วัยสูงอายุ 60 ปีขึ้นไป,หม้าย (กรณีคู่สมรสเสียชีวิต),ไม่ระบุ,ใช่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,บุตร,บุตร/หลาน
ภาคเหนือ,อุทัยธานี,เมืองอุทัยธานี,น้ำซึม,หญิง,22.0,วัยผู้ใหญ่ตอนต้น 19 - 35 ปี,โสด,ไม่ระบุ,ไม่,ไม่,ไม่,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
ภาคเหนือ,อุทัยธานี,สว่างอารมณ์,บ่อยาง,หญิง,49.0,วัยกลางคน 36 - 59 ปี,แยกกันอยู่,ยังไม่ได้จดทะเบียนหย่า,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ใช่,ไม่,ไม่,บุตร,บุตร/หลาน
ภาคเหนือ,อุทัยธานี,ทัพทัน,ตลุกดู่,หญิง,34.0,วัยผู้ใหญ่ตอนต้น 19 - 35 ปี,สมรส,จดทะเบียนสมรสแล้ว,ไม่,ไม่,ไม่,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
ภาคเหนือ,อุทัยธานี,เมืองอุทัยธานี,สะแกกรัง,หญิง,35.0,วัยผู้ใหญ่ตอนต้น 19 - 35 ปี,แยกกันอยู่,ยังไม่ได้จดทะเบียนหย่า,ไม่,ใช่,ไม่,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
ภาคเหนือ,เชียงราย,เมืองเชียงราย,แม่ยาว,หญิง,38.0,วัยกลางคน 36 - 59 ปี,สมรส,ยังไม่ได้จดทะเบียนสมรส,ใช่,ใช่,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
ภาคเหนือ,เชียงราย,แม่สาย,ศรีเมืองชุม,หญิง,3.0,วัยเด็กเล็กแรกเกิด - 6 ปี,โสด,ไม่ระบุ,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,มารดา,ผู้ปกครอง/เครือญาติ
ภาคเหนือ,เชียงราย,เวียงชัย,ดอนศิลา,หญิง,34.0,วัยผู้ใหญ่ตอนต้น 19 - 35 ปี,สมรส,ยังไม่ได้จดทะเบียนสมรส,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
ภาคเหนือ,เชียงราย,ป่าแดด,ป่าแงะ,หญิง,70.0,วัยสูงอายุ 60 ปีขึ้นไป,หม้าย (กรณีคู่สมรสเสียชีวิต),ไม่ระบุ,ใช่,ใช่,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ใช่,บุตร,บุตร/หลาน
ภาคเหนือ,เชียงราย,ดอยหลวง,ปงน้อย,หญิง,12.0,วัยเด็กตอนกลาง 7 - 12 ปี,โสด,ไม่ระบุ,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ใช่,บิดา,ผู้ปกครอง/เครือญาติ
ภาคเหนือ,เชียงราย,พญาเม็งราย,เม็งราย,หญิง,33.0,วัยผู้ใหญ่ตอนต้น 19 - 35 ปี,สมรส,ยังไม่ได้จดทะเบียนสมรส,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
ภาคเหนือ,เชียงราย,ขุนตาล,ป่าตาล,หญิง,13.0,วัยรุ่น 13 - 18 ปี,โสด,ไม่ระบุ,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,บิดา,ผู้ปกครอง/เครือญาติ
ภาคเหนือ,เชียงราย,เมืองเชียงราย,รอบเวียง,หญิง,38.0,วัยกลางคน 36 - 59 ปี,สมรส,จดทะเบียนสมรสแล้ว,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
ภาคเหนือ,เชียงราย,แม่จัน,ป่าซาง,ชาย,16.0,วัยรุ่น 13 - 18 ปี,โสด,ไม่ระบุ,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,พี่น้อง/ลูกพี่ลูกน้อง,บุตร/หลาน
ภาคเหนือ,เชียงราย,แม่ฟ้าหลวง,แม่สลองนอก,หญิง,16.0,วัยรุ่น 13 - 18 ปี,โสด,ไม่ระบุ,ไม่,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ใช่,ไม่,ไม่,บิดา,ผู้ปกครอง/เครือญาติ
ภาคเหนือ,เชียงราย,เวียงป่าเป้า,แม่เจดีย์ใหม่,หญิง,64.0,วัยสูงอายุ 60 ปีขึ้นไป,สมรส,จดทะเบียนสมรสแล้ว,ใช่,ไม่,ไม่,ไม่,ไม่,ไม่,ไม่,ใช่,ไม่,ไม่,"คู่ชีวิต,สามี",คู่สมรส/คู่รัก
